index,ID,Question,Check_Answer,Selections,SML,ML,ML_Score,ML_Scored,Basic_Calc,Basic_Score,Mod_Calc,Mod_Score,Adv_Calc,Adv_Score
0,DP1,Where are copies of HVA production data stored or processed?  Select all that apply.,0,Premises owned or controlled by the agency,C,Char,0,0,0.0,,0.0,,,
1,,Where are copies of HVA production data stored or processed?  Select all that apply.,0,Premises owned or controlled by other Federal agencies,C,Char,0,0,0.0,,0.0,,,
2,,Where are copies of HVA production data stored or processed?  Select all that apply.,0,Premises owned or controlled by contractor,C,Char,0,0,0.0,,0.0,,,
3,,Where are copies of HVA production data stored or processed?  Select all that apply.,0,Other,C,Char,0,0,0.0,,0.0,,,
4,,Where are copies of HVA production data stored or processed?  Select all that apply.,0,Unknown,C,Char,0,0,0.0,,0.0,,,
5,DP2,"Do regulatory requirements exist that govern the protection of HVA data?
",0,Yes,C,Char,0,0,0.0,,0.0,,,
6,,"Do regulatory requirements exist that govern the protection of HVA data?
",0,No,C,Char,0,0,0.0,,0.0,,,
7,,"Do regulatory requirements exist that govern the protection of HVA data?
",0,Unknown,C,Char,0,0,0.0,,0.0,,,
8,DP3,Does the agency have established HVA data protection policies and procedures?,x,Yes,SML1,1,1,0,1.0,1,,,,
9,DP3,Does the agency have established HVA data protection policies and procedures?,0,No,SML1,1,0,0,0.0,,,,,
10,DP3,Does the agency have established HVA data protection policies and procedures?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
11,DP3a,"If Yes to DP3: Do the same policies, procedures, and protections apply to HVA production data regardless of where it is stored or processed?",0,Yes,SML1,1,1,0,0.0,0,,,,
12,DP3a,"If Yes to DP3: Do the same policies, procedures, and protections apply to HVA production data regardless of where it is stored or processed?",x,No,SML1,1,0,0,0.0,,,,,
13,DP3a,"If Yes to DP3: Do the same policies, procedures, and protections apply to HVA production data regardless of where it is stored or processed?",0,Unknown,SML1,1,0.001,0,0.0,,,,,
14,DP3b,If Yes to DP3: Do these policies and procedures specifically address the encryption of HVA data?,0,Yes,SML1,1,1,0,0.0,u,,u,,u
15,DP3b,If Yes to DP3: Do these policies and procedures specifically address the encryption of HVA data?,0,No,SML1,1,0,0,0.0,,,,,
16,DP3b,If Yes to DP3: Do these policies and procedures specifically address the encryption of HVA data?,x,Unknown,SML1,1,0.001,0,0.001,,,,,
17,DP3c,If Yes to DP3: Do these policies and procedures specifically address data loss prevention?,0,Yes,SML1,1,1,0,0.0,u,,u,,u
18,DP3c,If Yes to DP3: Do these policies and procedures specifically address data loss prevention?,0,No,SML1,1,0,0,0.0,,,,,
19,DP3c,If Yes to DP3: Do these policies and procedures specifically address data loss prevention?,x,Unknown,SML1,1,0.001,0,0.001,,,,,
20,DP3d,If Yes to DP3: Do these policies and procedures specifically address digital rights management?,0,Yes,SML1,1,1,0,0.0,u,,u,,u
21,DP3d,If Yes to DP3: Do these policies and procedures specifically address digital rights management?,0,No,SML1,1,0,0,0.0,,,,,
22,DP3d,If Yes to DP3: Do these policies and procedures specifically address digital rights management?,x,Unknown,SML1,1,0.001,0,0.001,,,,,
23,DP3e,If Yes to DP3: Do these policies and procedures specifically address HVA data retirement and disposal?,0,Yes,SML1,1,1,0,0.0,u,,u,,u
24,DP3e,If Yes to DP3: Do these policies and procedures specifically address HVA data retirement and disposal?,0,No,SML1,1,0,0,0.0,,,,,
25,DP3e,If Yes to DP3: Do these policies and procedures specifically address HVA data retirement and disposal?,x,Unknown,SML1,1,0.001,0,0.001,,,,,
26,DP3f,If Yes to DP3: Are these policies and procedures enforced using technical controls?,0,Yes,SML2,2,1,0,0.0,u,0.0,u,,u
27,DP3f,If Yes to DP3: Are these policies and procedures enforced using technical controls?,0,No,SML2,2,0,0,0.0,,0.0,,,
28,DP3f,If Yes to DP3: Are these policies and procedures enforced using technical controls?,x,Unknown,SML2,2,0.001,0,0.001,,0.001,,,
29,DP4,"Does the HVA provide data obfuscation (e.g., masking, substitution) for privacy protection?",0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
30,DP4,"Does the HVA provide data obfuscation (e.g., masking, substitution) for privacy protection?",0,No,SML2,2,0,0,0.0,,0.0,,,
31,DP4,"Does the HVA provide data obfuscation (e.g., masking, substitution) for privacy protection?",0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
32,DP5,"Is HVA data sanitized/redacted per policy or agreements before being shared with external entities (e.g., vendors and software developers)?",0,Yes,SML1,1,1,0,0.0,u,,u,,u
33,DP5,"Is HVA data sanitized/redacted per policy or agreements before being shared with external entities (e.g., vendors and software developers)?",0,No,SML1,1,0,0,0.0,,,,,
34,DP5,"Is HVA data sanitized/redacted per policy or agreements before being shared with external entities (e.g., vendors and software developers)?",x,Unknown,SML1,1,0.001,0,0.001,,,,,
35,DP6,Are copies of HVA production data stored/processed in development or quality/testing environments?,0,Yes,C,Char,0,0,0.0,,0.0,,,
36,DP6,Are copies of HVA production data stored/processed in development or quality/testing environments?,0,No,C,Char,0,0,0.0,,0.0,,,
37,DP6,Are copies of HVA production data stored/processed in development or quality/testing environments?,0,Unknown,C,Char,0,0,0.0,,0.0,,,
38,DP6a,"If Yes to DP6: Are these copies sanitized, obfuscated, or protected to the same rigor as data in production environments?",0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
39,DP6a,"If Yes to DP6: Are these copies sanitized, obfuscated, or protected to the same rigor as data in production environments?",0,No,SML2,2,0,0,0.0,,0.0,,,
40,DP6a,"If Yes to DP6: Are these copies sanitized, obfuscated, or protected to the same rigor as data in production environments?",0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
41,DP7,Does the HVA encrypt data in transit? ,0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
42,DP7,Does the HVA encrypt data in transit? ,0,No,SML2,2,0,0,0.0,,0.0,,,
43,DP7,Does the HVA encrypt data in transit? ,0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
44,DP7a,"If Yes to DP7: Do HVA security tools inspect and monitor encrypted HVA data transfers (e.g., via SSL interception)?",0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
45,DP7a,"If Yes to DP7: Do HVA security tools inspect and monitor encrypted HVA data transfers (e.g., via SSL interception)?",0,No,SML2,2,0,0,0.0,,0.0,,,
46,DP7a,"If Yes to DP7: Do HVA security tools inspect and monitor encrypted HVA data transfers (e.g., via SSL interception)?",0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
47,DP7b,If Yes to DP7: Are all HVA data flows encrypted in transit?,0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
48,DP7b,If Yes to DP7: Are all HVA data flows encrypted in transit?,0,No,SML3,3,0,0,0.0,,0.0,,0.0,
49,DP7b,If Yes to DP7: Are all HVA data flows encrypted in transit?,0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
50,DP8,"Does the HVA decrypt and encrypt data just-in-time (e.g., data is decrypted just prior to use and encrypted when not in use)?",0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
51,DP8,"Does the HVA decrypt and encrypt data just-in-time (e.g., data is decrypted just prior to use and encrypted when not in use)?",0,No,SML3,3,0,0,0.0,,0.0,,0.0,
52,DP8,"Does the HVA decrypt and encrypt data just-in-time (e.g., data is decrypted just prior to use and encrypted when not in use)?",0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
53,2) Cloud,"Does the HVA decrypt and encrypt data just-in-time (e.g., data is decrypted just prior to use and encrypted when not in use)?",0,0,SML3,0,0,0,,,,,,
54,ID,Question,Check Answer,Selections,SML,ML,ML Score,ML Scored,0.0,,0.0,,,
55,DP9,Does the HVA use external cloud hosting?,0,Yes,C,Char,0,0,0.0,,0.0,,,
56,DP9,Does the HVA use external cloud hosting?,0,No,C,Char,0,0,0.0,,0.0,,,
57,DP9,Does the HVA use external cloud hosting?,0,Unknown,C,Char,0,0,0.0,,0.0,,,
58,DP9a,"If Yes to DP9: If the HVA uses public/commercial cloud hosting, are geographic regions limited to the United States?",0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
59,DP9a,"If Yes to DP9: If the HVA uses public/commercial cloud hosting, are geographic regions limited to the United States?",0,No,SML2,2,0,0,0.0,,0.0,,,
60,DP9a,"If Yes to DP9: If the HVA uses public/commercial cloud hosting, are geographic regions limited to the United States?",0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
61,DP9b,"If Yes to DP9: Are copies of HVA production data stored or processed in an external IaaS or PaaS cloud (e.g., public/commercial cloud or Government cloud)?",0,Yes,C,Char,0,0,0.0,,0.0,,,
62,DP9b,"If Yes to DP9: Are copies of HVA production data stored or processed in an external IaaS or PaaS cloud (e.g., public/commercial cloud or Government cloud)?",0,No,C,Char,0,0,0.0,,0.0,,,
63,DP9b,"If Yes to DP9: Are copies of HVA production data stored or processed in an external IaaS or PaaS cloud (e.g., public/commercial cloud or Government cloud)?",0,Unknown,C,Char,0,0,0.0,,0.0,,,
64,DP9b1,If Yes to DP9b: Is the data archived with the cloud provider's specialized backup services?,0,Yes,SML1,1,1,0,0.0,0,,,,
65,DP9b1,If Yes to DP9b: Is the data archived with the cloud provider's specialized backup services?,0,No,SML1,1,0,0,0.0,,,,,
66,DP9b1,If Yes to DP9b: Is the data archived with the cloud provider's specialized backup services?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
67,DP9b2,If Yes to DP9b: Are these copies of HVA production data encrypted?,0,Yes,SML1,1,1,0,0.0,0,,,,
68,DP9b2,If Yes to DP9b: Are these copies of HVA production data encrypted?,0,No,SML1,1,0,0,0.0,,,,,
69,DP9b2,If Yes to DP9b: Are these copies of HVA production data encrypted?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
70,DP9b3,If Yes to DP9b: Are these copies of HVA production data encrypted using keying material exclusively controlled by the agency?,0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
71,DP9b3,If Yes to DP9b: Are these copies of HVA production data encrypted using keying material exclusively controlled by the agency?,0,No,SML3,3,0,0,0.0,,0.0,,0.0,
72,DP9b3,If Yes to DP9b: Are these copies of HVA production data encrypted using keying material exclusively controlled by the agency?,0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
73,DP9c,"If Yes to DP9: Does the HVA use external SaaS cloud hosting to store or process HVA data?
",0,Yes,C,Char,0,0,0.0,,0.0,,,
74,DP9c,"If Yes to DP9: Does the HVA use external SaaS cloud hosting to store or process HVA data?
",0,No,C,Char,0,0,0.0,,0.0,,,
75,DP9c,"If Yes to DP9: Does the HVA use external SaaS cloud hosting to store or process HVA data?
",0,Unknown,C,Char,0,0,0.0,,0.0,,,
76,DP9c1,If Yes to DP9c: Has the agency established service-level agreements with SaaS providers that address the following?  Select all that apply.,0,Data encryption at rest,SML2,2,0.2,0,0.0,0.5,0.0,0.5,,
77,,If Yes to DP9c: Has the agency established service-level agreements with SaaS providers that address the following?  Select all that apply.,x,Data encryption in transit,SML2,2,0.2,0,0.2,,0.2,,,
78,,If Yes to DP9c: Has the agency established service-level agreements with SaaS providers that address the following?  Select all that apply.,x,Data backup and restoration,SML2,2,0.2,0,0.2,,0.2,,,
79,,If Yes to DP9c: Has the agency established service-level agreements with SaaS providers that address the following?  Select all that apply.,x,Data retirement and disposal,SML2,2,0.2,0,0.2,,0.2,,,
80,,If Yes to DP9c: Has the agency established service-level agreements with SaaS providers that address the following?  Select all that apply.,x,Access to data by SaaS provider personnel,SML2,2,0.2,0,0.2,,0.2,,,
81,,If Yes to DP9c: Has the agency established service-level agreements with SaaS providers that address the following?  Select all that apply.,0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
82,DP9c2,"If Yes to DP9c: Does the contract require the SaaS provider to support data portability (e.g., provide a copy of the data upon request or termination of the contract)?",0,Yes,SML1,1,1,0,0.0,0,,,,
83,DP9c2,"If Yes to DP9c: Does the contract require the SaaS provider to support data portability (e.g., provide a copy of the data upon request or termination of the contract)?",0,No,SML1,1,0,0,0.0,,,,,
84,DP9c2,"If Yes to DP9c: Does the contract require the SaaS provider to support data portability (e.g., provide a copy of the data upon request or termination of the contract)?",0,Unknown,SML1,1,0.001,0,0.0,,,,,
85,"3) Backup, Restoration, and Replication","If Yes to DP9c: Does the contract require the SaaS provider to support data portability (e.g., provide a copy of the data upon request or termination of the contract)?",0,0,SML1,0,0,0,,,,,,
86,ID,Question,Check Answer,Selections,SML,ML,ML Score,ML Scored,0.0,,0.0,,,
87,DP10,Has the agency documented data recovery objectives for the HVA?,0,Yes,SML1,1,1,0,0.0,0,,,,
88,DP10,Has the agency documented data recovery objectives for the HVA?,0,No,SML1,1,0,0,0.0,,,,,
89,DP10,Has the agency documented data recovery objectives for the HVA?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
90,DP11,Are HVA production data backups performed?,0,Yes,SML1,1,1,0,0.0,0,,,,
91,DP11,Are HVA production data backups performed?,0,No,SML1,1,0,0,0.0,,,,,
92,DP11,Are HVA production data backups performed?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
93,DP11a,If Yes to DP11: Is the frequency of HVA production data backups adequate to meet recovery objectives?,0,Yes,SML1,1,1,0,0.0,0,,,,
94,DP11a,If Yes to DP11: Is the frequency of HVA production data backups adequate to meet recovery objectives?,0,No,SML1,1,0,0,0.0,,,,,
95,DP11a,If Yes to DP11: Is the frequency of HVA production data backups adequate to meet recovery objectives?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
96,DP11b,If Yes to DP11: Are copies of data backups stored off-site?,x,Yes,SML2,2,1,0,1.0,1,1.0,1,,
97,DP11b,If Yes to DP11: Are copies of data backups stored off-site?,0,No,SML2,2,0,0,0.0,,0.0,,,
98,DP11b,If Yes to DP11: Are copies of data backups stored off-site?,0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
99,DP11b1,"If Yes to DP11b: Are copies stored at geographically disperse locations (i.e., geographically distant from the data source)? ",0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
